WeaponId,Name,Class,Tier,Star,Icon,StatGroupId,FuseMode,NextWeaponId,FuseShardRequired,ExclusivePoolClass,ExclusiveClassStoneCost,LevelConfigId,LimitBreakConfigId
1216,Titan Blade I,Warrior,A,1,sword_a1,SG_A_1,ToNextStandard,1217,3,Warrior,0,STD_A,LB_A
1217,Titan Blade II,Warrior,A,2,sword_a2,SG_A_2,ToNextStandard,1218,3,Warrior,0,STD_A,LB_A
1218,Titan Blade III,Warrior,A,3,sword_a3,SG_A_3,ToNextStandard,1219,3,Warrior,0,STD_A,LB_A
1219,Titan Blade IV,Warrior,A,4,sword_a4,SG_A_4,ToNextStandard,1220,3,Warrior,0,STD_A,LB_A
1220,Titan Blade V,Warrior,A,5,sword_a5,SG_A_5,ToNextStandard,1221,3,Warrior,0,STD_A,LB_A
1221,Colossus Blade I,Warrior,S,1,sword_s1,SG_S_1,ToNextStandard,1222,3,Warrior,0,STD_S,LB_S
1222,Colossus Blade II,Warrior,S,2,sword_s2,SG_S_2,ToNextStandard,1223,3,Warrior,0,STD_S,LB_S
1223,Colossus Blade III,Warrior,S,3,sword_s3,SG_S_3,ToNextStandard,1224,3,Warrior,0,STD_S,LB_S
1224,Colossus Blade IV,Warrior,S,4,sword_s4,SG_S_4,ToNextStandard,1225,3,Warrior,0,STD_S,LB_S
1225,Colossus Blade V,Warrior,S,5,sword_s5,SG_S_5,ToNextStandard,1226,3,Warrior,0,STD_S,LB_S
1226,Mythic Blade I,Warrior,SS,1,sword_ss1,SG_SS_1,ToNextStandard,1227,3,Warrior,0,STD_SS,LB_SS
1227,Mythic Blade II,Warrior,SS,2,sword_ss2,SG_SS_2,ToNextStandard,1228,3,Warrior,0,STD_SS,LB_SS
1228,Mythic Blade III,Warrior,SS,3,sword_ss3,SG_SS_3,ToNextStandard,1229,3,Warrior,0,STD_SS,LB_SS
1229,Mythic Blade IV,Warrior,SS,4,sword_ss4,SG_SS_4,ToNextStandard,1230,3,Warrior,0,STD_SS,LB_SS
1230,Mythic Blade V,Warrior,SS,5,sword_ss5,SG_SS_5,ToRandomExclusive,0,3,Warrior,1,STD_SS,LB_SS
1301,Dusk Dagger I,Assassin,D,1,dagger_d1,SG_D_1,ToNextStandard,1302,3,Assassin,0,STD_D,LB_D
1302,Dusk Dagger II,Assassin,D,2,dagger_d2,SG_D_2,ToNextStandard,1303,3,Assassin,0,STD_D,LB_D
1303,Dusk Dagger III,Assassin,D,3,dagger_d3,SG_D_3,ToNextStandard,1304,3,Assassin,0,STD_D,LB_D
1304,Dusk Dagger IV,Assassin,D,4,dagger_d4,SG_D_4,ToNextStandard,1305,3,Assassin,0,STD_D,LB_D
1305,Dusk Dagger V,Assassin,D,5,dagger_d5,SG_D_5,ToNextStandard,1306,3,Assassin,0,STD_D,LB_D
1306,Night Dagger I,Assassin,C,1,dagger_c1,SG_C_1,ToNextStandard,1307,3,Assassin,0,STD_C,LB_C
1307,Night Dagger II,Assassin,C,2,dagger_c2,SG_C_2,ToNextStandard,1308,3,Assassin,0,STD_C,LB_C
1308,Night Dagger III,Assassin,C,3,dagger_c3,SG_C_3,ToNextStandard,1309,3,Assassin,0,STD_C,LB_C
1309,Night Dagger IV,Assassin,C,4,dagger_c4,SG_C_4,ToNextStandard,1310,3,Assassin,0,STD_C,LB_C
1310,Night Dagger V,Assassin,C,5,dagger_c5,SG_C_5,ToNextStandard,1311,3,Assassin,0,STD_C,LB_C
1311,Fang Dagger I,Assassin,B,1,dagger_b1,SG_B_1,ToNextStandard,1312,3,Assassin,0,STD_B,LB_B
1312,Fang Dagger II,Assassin,B,2,dagger_b2,SG_B_2,ToNextStandard,1313,3,Assassin,0,STD_B,LB_B
1313,Fang Dagger III,Assassin,B,3,dagger_b3,SG_B_3,ToNextStandard,1314,3,Assassin,0,STD_B,LB_B
1314,Fang Dagger IV,Assassin,B,4,dagger_b4,SG_B_4,ToNextStandard,1315,3,Assassin,0,STD_B,LB_B
1315,Fang Dagger V,Assassin,B,5,dagger_b5,SG_B_5,ToNextStandard,1316,3,Assassin,0,STD_B,LB_B
1316,Phantom Dagger I,Assassin,A,1,dagger_a1,SG_A_1,ToNextStandard,1317,3,Assassin,0,STD_A,LB_A
1317,Phantom Dagger II,Assassin,A,2,dagger_a2,SG_A_2,ToNextStandard,1318,3,Assassin,0,STD_A,LB_A
1318,Phantom Dagger III,Assassin,A,3,dagger_a3,SG_A_3,ToNextStandard,1319,3,Assassin,0,STD_A,LB_A
1319,Phantom Dagger IV,Assassin,A,4,dagger_a4,SG_A_4,ToNextStandard,1320,3,Assassin,0,STD_A,LB_A
1320,Phantom Dagger V,Assassin,A,5,dagger_a5,SG_A_5,ToNextStandard,1321,3,Assassin,0,STD_A,LB_A
1321,Void Dagger I,Assassin,S,1,dagger_s1,SG_S_1,ToNextStandard,1322,3,Assassin,0,STD_S,LB_S
1322,Void Dagger II,Assassin,S,2,dagger_s2,SG_S_2,ToNextStandard,1323,3,Assassin,0,STD_S,LB_S
1323,Void Dagger III,Assassin,S,3,dagger_s3,SG_S_3,ToNextStandard,1324,3,Assassin,0,STD_S,LB_S
1324,Void Dagger IV,Assassin,S,4,dagger_s4,SG_S_4,ToNextStandard,1325,3,Assassin,0,STD_S,LB_S
1325,Void Dagger V,Assassin,S,5,dagger_s5,SG_S_5,ToNextStandard,1326,3,Assassin,0,STD_S,LB_S
1326,Eternal Dagger I,Assassin,SS,1,dagger_ss1,SG_SS_1,ToNextStandard,1327,3,Assassin,0,STD_SS,LB_SS
1327,Eternal Dagger II,Assassin,SS,2,dagger_ss2,SG_SS_2,ToNextStandard,1328,3,Assassin,0,STD_SS,LB_SS
1328,Eternal Dagger III,Assassin,SS,3,dagger_ss3,SG_SS_3,ToNextStandard,1329,3,Assassin,0,STD_SS,LB_SS
1329,Eternal Dagger IV,Assassin,SS,4,dagger_ss4,SG_SS_4,ToNextStandard,1330,3,Assassin,0,STD_SS,LB_SS
1330,Eternal Dagger V,Assassin,SS,5,dagger_ss5,SG_SS_5,ToRandomExclusive,0,3,Assassin,1,STD_SS,LB_SS
