mission_id,event_id,day,slot,title_vi,trigger,target,points,item_id,quantity,limit_reset,sort_order
EVT_NB_D05_M6,1003,5,6,Vượt ải 10 lần,CLEAR_STAGE_COUNT,10,50,46,1,daily,6
EVT_NB_D06_M1,1003,6,1,Đăng nhập hôm nay,LOGIN,1,20,1,50000,daily,1
EVT_NB_D06_M2,1003,6,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,200,daily,2
EVT_NB_D06_M3,1003,6,3,Tiêu diệt 200 quái,KILL_MONSTER,200,30,1,50000,daily,3
EVT_NB_D06_M4,1003,6,4,Nâng cấp kỹ năng 1 lần,SKILL_UPGRADE,1,30,16,2,daily,4
EVT_NB_D06_M5,1003,6,5,Vượt ải 5 lần,CLEAR_STAGE_COUNT,5,40,3,30,daily,5
EVT_NB_D06_M6,1003,6,6,Cường hóa trang bị 8 lần,ENHANCE_GEAR,8,50,9,1,daily,6
EVT_NB_D07_M1,1003,7,1,Đăng nhập hôm nay,LOGIN,1,20,1,50000,daily,1
EVT_NB_D07_M2,1003,7,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,200,daily,2
EVT_NB_D07_M3,1003,7,3,Tiêu diệt 200 quái,KILL_MONSTER,200,30,1,50000,daily,3
EVT_NB_D07_M4,1003,7,4,Cường hóa trang bị 3 lần,ENHANCE_GEAR,3,30,14,20,daily,4
EVT_NB_D07_M5,1003,7,5,Vượt ải 5 lần,CLEAR_STAGE_COUNT,5,40,3,30,daily,5
EVT_NB_D07_M6,1003,7,6,Lên cấp anh hùng 8 lần,HERO_LEVELUP,8,50,8,5,daily,6
EVT_NB_D08_M1,1003,8,1,Đăng nhập hôm nay,LOGIN,1,20,1,50000,daily,1
EVT_NB_D08_M2,1003,8,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,200,daily,2
EVT_NB_D08_M3,1003,8,3,Tiêu diệt 300 quái,KILL_MONSTER,300,30,1,50000,daily,3
EVT_NB_D08_M4,1003,8,4,Lên cấp anh hùng 5 lần,HERO_LEVELUP,5,30,15,5,daily,4
EVT_NB_D08_M5,1003,8,5,Thắng 1 trận Đấu trường,ARENA_WIN,1,40,3,30,daily,5
EVT_NB_D08_M6,1003,8,6,Vượt ải 12 lần,CLEAR_STAGE_COUNT,12,50,46,1,daily,6
EVT_NB_D09_M1,1003,9,1,Đăng nhập hôm nay,LOGIN,1,20,1,50000,daily,1
EVT_NB_D09_M2,1003,9,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,200,daily,2
EVT_NB_D09_M3,1003,9,3,Tiêu diệt 300 quái,KILL_MONSTER,300,30,1,50000,daily,3
EVT_NB_D09_M4,1003,9,4,Nâng cấp kỹ năng 2 lần,SKILL_UPGRADE,2,30,16,2,daily,4
EVT_NB_D09_M5,1003,9,5,Vượt ải 8 lần,CLEAR_STAGE_COUNT,8,40,3,30,daily,5
EVT_NB_D09_M6,1003,9,6,Triệu hồi anh hùng 1 lần (mọi banner),HERO_SUMMON,1,50,9,1,daily,6
EVT_NB_D10_M1,1003,10,1,Đăng nhập hôm nay,LOGIN,1,20,1,50000,daily,1
EVT_NB_D10_M2,1003,10,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,200,daily,2
EVT_NB_D10_M3,1003,10,3,Tiêu diệt 300 quái,KILL_MONSTER,300,30,1,50000,daily,3
EVT_NB_D10_M4,1003,10,4,Cường hóa trang bị 5 lần,ENHANCE_GEAR,5,30,14,20,daily,4
EVT_NB_D10_M5,1003,10,5,Vượt ải 8 lần,CLEAR_STAGE_COUNT,8,40,3,30,daily,5
EVT_NB_D10_M6,1003,10,6,Hoàn thành 1 lượt Dungeon,DUNGEON_CLEAR,1,50,8,1,daily,6
EVT_NB_D11_M1,1003,11,1,Đăng nhập hôm nay,LOGIN,1,20,1,100000,daily,1
EVT_NB_D11_M2,1003,11,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,300,daily,2
EVT_NB_D11_M3,1003,11,3,Tiêu diệt 300 quái,KILL_MONSTER,300,30,1,100000,daily,3
EVT_NB_D11_M4,1003,11,4,Lên cấp anh hùng 5 lần,HERO_LEVELUP,5,30,15,5,daily,4
EVT_NB_D11_M5,1003,11,5,Thắng 1 trận Đấu trường,ARENA_WIN,1,40,3,40,daily,5
EVT_NB_D11_M6,1003,11,6,Vượt ải 12 lần,CLEAR_STAGE_COUNT,12,50,46,1,daily,6
EVT_NB_D12_M1,1003,12,1,Đăng nhập hôm nay,LOGIN,1,20,1,100000,daily,1
EVT_NB_D12_M2,1003,12,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,300,daily,2
EVT_NB_D12_M3,1003,12,3,Tiêu diệt 300 quái,KILL_MONSTER,300,30,1,100000,daily,3
EVT_NB_D12_M4,1003,12,4,Nâng cấp kỹ năng 2 lần,SKILL_UPGRADE,2,30,16,2,daily,4
EVT_NB_D12_M5,1003,12,5,Vượt ải 8 lần,CLEAR_STAGE_COUNT,8,40,3,40,daily,5
EVT_NB_D12_M6,1003,12,6,Triệu hồi anh hùng 1 lần (mọi banner),HERO_SUMMON,1,50,9,1,daily,6
EVT_NB_D13_M1,1003,13,1,Đăng nhập hôm nay,LOGIN,1,20,1,100000,daily,1
EVT_NB_D13_M2,1003,13,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,300,daily,2
EVT_NB_D13_M3,1003,13,3,Tiêu diệt 300 quái,KILL_MONSTER,300,30,1,100000,daily,3
EVT_NB_D13_M4,1003,13,4,Cường hóa trang bị 5 lần,ENHANCE_GEAR,5,30,14,20,daily,4
EVT_NB_D13_M5,1003,13,5,Vượt ải 8 lần,CLEAR_STAGE_COUNT,8,40,3,40,daily,5
EVT_NB_D13_M6,1003,13,6,Hoàn thành 1 lượt Dungeon,DUNGEON_CLEAR,1,50,8,1,daily,6
EVT_NB_D14_M1,1003,14,1,Đăng nhập hôm nay,LOGIN,1,20,1,100000,daily,1
EVT_NB_D14_M2,1003,14,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,300,daily,2
EVT_NB_D14_M3,1003,14,3,Tiêu diệt 300 quái,KILL_MONSTER,300,30,1,100000,daily,3
EVT_NB_D14_M4,1003,14,4,Lên cấp anh hùng 5 lần,HERO_LEVELUP,5,30,15,5,daily,4
EVT_NB_D14_M5,1003,14,5,Thắng 1 trận Đấu trường,ARENA_WIN,1,40,3,40,daily,5
EVT_NB_D14_M6,1003,14,6,Vượt ải 12 lần,CLEAR_STAGE_COUNT,12,50,46,5,daily,6
EVT_NB_D15_M1,1003,15,1,Đăng nhập hôm nay,LOGIN,1,20,1,100000,daily,1
EVT_NB_D15_M2,1003,15,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,300,daily,2
EVT_NB_D15_M3,1003,15,3,Tiêu diệt 400 quái,KILL_MONSTER,400,30,1,100000,daily,3
EVT_NB_D15_M4,1003,15,4,Nâng cấp kỹ năng 3 lần,SKILL_UPGRADE,3,30,16,2,daily,4
EVT_NB_D15_M5,1003,15,5,Vượt ải 10 lần,CLEAR_STAGE_COUNT,10,40,3,40,daily,5
EVT_NB_D15_M6,1003,15,6,Triệu hồi anh hùng 1 lần (mọi banner),HERO_SUMMON,1,50,9,1,daily,6
EVT_NB_D16_M1,1003,16,1,Đăng nhập hôm nay,LOGIN,1,20,1,100000,daily,1
EVT_NB_D16_M2,1003,16,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,300,daily,2
EVT_NB_D16_M3,1003,16,3,Tiêu diệt 400 quái,KILL_MONSTER,400,30,1,100000,daily,3
EVT_NB_D16_M4,1003,16,4,Cường hóa trang bị 5 lần,ENHANCE_GEAR,5,30,14,20,daily,4
EVT_NB_D16_M5,1003,16,5,Vượt ải 10 lần,CLEAR_STAGE_COUNT,10,40,3,40,daily,5
EVT_NB_D16_M6,1003,16,6,Hoàn thành 1 lượt Dungeon,DUNGEON_CLEAR,1,50,8,1,daily,6
EVT_NB_D17_M1,1003,17,1,Đăng nhập hôm nay,LOGIN,1,20,1,100000,daily,1
EVT_NB_D17_M2,1003,17,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,300,daily,2
EVT_NB_D17_M3,1003,17,3,Tiêu diệt 400 quái,KILL_MONSTER,400,30,1,100000,daily,3
EVT_NB_D17_M4,1003,17,4,Lên cấp anh hùng 8 lần,HERO_LEVELUP,8,30,15,5,daily,4
EVT_NB_D17_M5,1003,17,5,Thắng 1 trận Đấu trường,ARENA_WIN,1,40,3,40,daily,5
EVT_NB_D17_M6,1003,17,6,Vượt ải 15 lần,CLEAR_STAGE_COUNT,15,50,46,1,daily,6
EVT_NB_D18_M1,1003,18,1,Đăng nhập hôm nay,LOGIN,1,20,1,100000,daily,1
EVT_NB_D18_M2,1003,18,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,300,daily,2
EVT_NB_D18_M3,1003,18,3,Tiêu diệt 400 quái,KILL_MONSTER,400,30,1,100000,daily,3
EVT_NB_D18_M4,1003,18,4,Nâng cấp kỹ năng 3 lần,SKILL_UPGRADE,3,30,16,2,daily,4
EVT_NB_D18_M5,1003,18,5,Vượt ải 10 lần,CLEAR_STAGE_COUNT,10,40,3,40,daily,5
EVT_NB_D18_M6,1003,18,6,Triệu hồi anh hùng 1 lần (mọi banner),HERO_SUMMON,1,50,9,1,daily,6
EVT_NB_D19_M1,1003,19,1,Đăng nhập hôm nay,LOGIN,1,20,1,100000,daily,1
EVT_NB_D19_M2,1003,19,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,300,daily,2
EVT_NB_D19_M3,1003,19,3,Tiêu diệt 400 quái,KILL_MONSTER,400,30,1,100000,daily,3
EVT_NB_D19_M4,1003,19,4,Cường hóa trang bị 5 lần,ENHANCE_GEAR,5,30,14,20,daily,4
EVT_NB_D19_M5,1003,19,5,Vượt ải 10 lần,CLEAR_STAGE_COUNT,10,40,3,40,daily,5
EVT_NB_D19_M6,1003,19,6,Hoàn thành 1 lượt Dungeon,DUNGEON_CLEAR,1,50,8,1,daily,6
EVT_NB_D20_M1,1003,20,1,Đăng nhập hôm nay,LOGIN,1,20,1,100000,daily,1
EVT_NB_D20_M2,1003,20,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,300,daily,2
EVT_NB_D20_M3,1003,20,3,Tiêu diệt 400 quái,KILL_MONSTER,400,30,1,100000,daily,3
EVT_NB_D20_M4,1003,20,4,Lên cấp anh hùng 8 lần,HERO_LEVELUP,8,30,15,5,daily,4
EVT_NB_D20_M5,1003,20,5,Thắng 1 trận Đấu trường,ARENA_WIN,1,40,3,40,daily,5
EVT_NB_D20_M6,1003,20,6,Vượt ải 15 lần,CLEAR_STAGE_COUNT,15,50,46,1,daily,6
EVT_NB_D21_M1,1003,21,1,Đăng nhập hôm nay,LOGIN,1,20,1,150000,daily,1
EVT_NB_D21_M2,1003,21,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,500,daily,2
EVT_NB_D21_M3,1003,21,3,Tiêu diệt 400 quái,KILL_MONSTER,400,30,1,150000,daily,3
EVT_NB_D21_M4,1003,21,4,Nâng cấp kỹ năng 3 lần,SKILL_UPGRADE,3,30,16,2,daily,4
EVT_NB_D21_M5,1003,21,5,Vượt ải 10 lần,CLEAR_STAGE_COUNT,10,40,3,50,daily,5
EVT_NB_D21_M6,1003,21,6,Triệu hồi anh hùng 1 lần (mọi banner),HERO_SUMMON,1,50,9,5,daily,6
EVT_NB_D22_M1,1003,22,1,Đăng nhập hôm nay,LOGIN,1,20,1,150000,daily,1
EVT_NB_D22_M2,1003,22,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,500,daily,2
EVT_NB_D22_M3,1003,22,3,Tiêu diệt 500 quái,KILL_MONSTER,500,30,1,150000,daily,3
EVT_NB_D22_M4,1003,22,4,Cường hóa trang bị 8 lần,ENHANCE_GEAR,8,30,14,20,daily,4
EVT_NB_D22_M5,1003,22,5,Vượt ải 10 lần,CLEAR_STAGE_COUNT,10,40,3,50,daily,5
EVT_NB_D22_M6,1003,22,6,Hoàn thành 1 lượt Dungeon,DUNGEON_CLEAR,1,50,8,1,daily,6
EVT_NB_D23_M1,1003,23,1,Đăng nhập hôm nay,LOGIN,1,20,1,150000,daily,1
EVT_NB_D23_M2,1003,23,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,500,daily,2
EVT_NB_D23_M3,1003,23,3,Tiêu diệt 500 quái,KILL_MONSTER,500,30,1,150000,daily,3
EVT_NB_D23_M4,1003,23,4,Lên cấp anh hùng 10 lần,HERO_LEVELUP,10,30,15,5,daily,4
EVT_NB_D23_M5,1003,23,5,Thắng 1 trận Đấu trường,ARENA_WIN,1,40,3,50,daily,5
EVT_NB_D23_M6,1003,23,6,Vượt ải 15 lần,CLEAR_STAGE_COUNT,15,50,46,1,daily,6
EVT_NB_D24_M1,1003,24,1,Đăng nhập hôm nay,LOGIN,1,20,1,150000,daily,1
EVT_NB_D24_M2,1003,24,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,500,daily,2
EVT_NB_D24_M3,1003,24,3,Tiêu diệt 500 quái,KILL_MONSTER,500,30,1,150000,daily,3
EVT_NB_D24_M4,1003,24,4,Nâng cấp kỹ năng 3 lần,SKILL_UPGRADE,3,30,16,2,daily,4
EVT_NB_D24_M5,1003,24,5,Vượt ải 10 lần,CLEAR_STAGE_COUNT,10,40,3,50,daily,5
EVT_NB_D24_M6,1003,24,6,Triệu hồi anh hùng 1 lần (mọi banner),HERO_SUMMON,1,50,9,1,daily,6
EVT_NB_D25_M1,1003,25,1,Đăng nhập hôm nay,LOGIN,1,20,1,150000,daily,1
EVT_NB_D25_M2,1003,25,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,500,daily,2
EVT_NB_D25_M3,1003,25,3,Tiêu diệt 500 quái,KILL_MONSTER,500,30,1,150000,daily,3
EVT_NB_D25_M4,1003,25,4,Cường hóa trang bị 8 lần,ENHANCE_GEAR,8,30,14,20,daily,4
EVT_NB_D25_M5,1003,25,5,Vượt ải 10 lần,CLEAR_STAGE_COUNT,10,40,3,50,daily,5
EVT_NB_D25_M6,1003,25,6,Hoàn thành 1 lượt Dungeon,DUNGEON_CLEAR,1,50,8,1,daily,6
EVT_NB_D26_M1,1003,26,1,Đăng nhập hôm nay,LOGIN,1,20,1,150000,daily,1
EVT_NB_D26_M2,1003,26,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,500,daily,2
EVT_NB_D26_M3,1003,26,3,Tiêu diệt 500 quái,KILL_MONSTER,500,30,1,150000,daily,3
EVT_NB_D26_M4,1003,26,4,Lên cấp anh hùng 10 lần,HERO_LEVELUP,10,30,15,5,daily,4
EVT_NB_D26_M5,1003,26,5,Thắng 1 trận Đấu trường,ARENA_WIN,1,40,3,50,daily,5
EVT_NB_D26_M6,1003,26,6,Vượt ải 15 lần,CLEAR_STAGE_COUNT,15,50,46,1,daily,6
EVT_NB_D27_M1,1003,27,1,Đăng nhập hôm nay,LOGIN,1,20,1,150000,daily,1
EVT_NB_D27_M2,1003,27,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,500,daily,2
EVT_NB_D27_M3,1003,27,3,Tiêu diệt 500 quái,KILL_MONSTER,500,30,1,150000,daily,3
EVT_NB_D27_M4,1003,27,4,Nâng cấp kỹ năng 3 lần,SKILL_UPGRADE,3,30,16,2,daily,4
EVT_NB_D27_M5,1003,27,5,Vượt ải 10 lần,CLEAR_STAGE_COUNT,10,40,3,50,daily,5
EVT_NB_D27_M6,1003,27,6,Triệu hồi anh hùng 1 lần (mọi banner),HERO_SUMMON,1,50,9,1,daily,6
EVT_NB_D28_M1,1003,28,1,Đăng nhập hôm nay,LOGIN,1,20,1,150000,daily,1
EVT_NB_D28_M2,1003,28,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,500,daily,2
EVT_NB_D28_M3,1003,28,3,Tiêu diệt 500 quái,KILL_MONSTER,500,30,1,150000,daily,3
EVT_NB_D28_M4,1003,28,4,Cường hóa trang bị 8 lần,ENHANCE_GEAR,8,30,14,20,daily,4
EVT_NB_D28_M5,1003,28,5,Vượt ải 10 lần,CLEAR_STAGE_COUNT,10,40,3,50,daily,5
EVT_NB_D28_M6,1003,28,6,Hoàn thành 1 lượt Dungeon,DUNGEON_CLEAR,1,50,8,1,daily,6
EVT_NB_D29_M1,1003,29,1,Đăng nhập hôm nay,LOGIN,1,20,1,150000,daily,1
EVT_NB_D29_M2,1003,29,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,500,daily,2
EVT_NB_D29_M3,1003,29,3,Tiêu diệt 500 quái,KILL_MONSTER,500,30,1,150000,daily,3
EVT_NB_D29_M4,1003,29,4,Lên cấp anh hùng 10 lần,HERO_LEVELUP,10,30,15,5,daily,4
EVT_NB_D29_M5,1003,29,5,Thắng 1 trận Đấu trường,ARENA_WIN,1,40,3,50,daily,5
EVT_NB_D29_M6,1003,29,6,Vượt ải 15 lần,CLEAR_STAGE_COUNT,15,50,46,1,daily,6
EVT_NB_D30_M1,1003,30,1,Đăng nhập hôm nay,LOGIN,1,20,1,150000,daily,1
EVT_NB_D30_M2,1003,30,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,30,10,500,daily,2
EVT_NB_D30_M3,1003,30,3,Tiêu diệt 500 quái,KILL_MONSTER,500,30,1,150000,daily,3
EVT_NB_D30_M4,1003,30,4,Nâng cấp kỹ năng 3 lần,SKILL_UPGRADE,3,30,16,2,daily,4
EVT_NB_D30_M5,1003,30,5,Vượt ải 10 lần,CLEAR_STAGE_COUNT,10,40,3,50,daily,5
EVT_NB_D30_M6,1003,30,6,Triệu hồi anh hùng 1 lần (mọi banner),HERO_SUMMON,1,50,52,1,daily,6
EVT_NB7_D1_M1,1004,1,1,Đăng nhập hôm nay,LOGIN,1,20,1,50000,daily,1
EVT_NB7_D1_M2,1004,1,2,Nhận Idle Reward 1 lần,CLAIM_IDLE,1,20,10,200,daily,2
EVT_NB7_D1_M3,1004,1,3,Triệu hồi anh hùng 1 lần (mọi banner),HERO_SUMMON,1,20,8,1,daily,3
EVT_NB7_D2_M1,1004,2,1,Đăng nhập hôm nay,LOGIN,1,20,1,50000,daily,1
EVT_NB7_D2_M2,1004,2,2,Tiêu diệt 200 quái,KILL_MONSTER,200,20,3,40,daily,2
EVT_NB7_D2_M3,1004,2,3,Cường hóa trang bị 3 lần,ENHANCE_GEAR,3,20,46,1,daily,3
EVT_NB7_D3_M1,1004,3,1,Đăng nhập hôm nay,LOGIN,1,20,1,80000,daily,1
EVT_NB7_D3_M2,1004,3,2,Vượt ải 5 lần,CLEAR_STAGE_COUNT,5,20,3,50,daily,2
EVT_NB7_D3_M3,1004,3,3,Lên cấp anh hùng 5 lần,HERO_LEVELUP,5,20,9,1,daily,3
EVT_NB7_D4_M1,1004,4,1,Đăng nhập hôm nay,LOGIN,1,20,1,80000,daily,1
EVT_NB7_D4_M2,1004,4,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,20,3,60,daily,2
EVT_NB7_D4_M3,1004,4,3,Triệu hồi anh hùng 1 lần (mọi banner),HERO_SUMMON,1,20,8,2,daily,3
EVT_NB7_D5_M1,1004,5,1,Đăng nhập hôm nay,LOGIN,1,20,1,100000,daily,1
EVT_NB7_D5_M2,1004,5,2,Tiêu diệt 300 quái,KILL_MONSTER,300,20,3,80,daily,2
EVT_NB7_D5_M3,1004,5,3,Nâng cấp kỹ năng 2 lần,SKILL_UPGRADE,2,20,46,3,daily,3
EVT_NB7_D6_M1,1004,6,1,Đăng nhập hôm nay,LOGIN,1,20,1,120000,daily,1
EVT_NB7_D6_M2,1004,6,2,Vượt ải 8 lần,CLEAR_STAGE_COUNT,8,20,3,100,daily,2
EVT_NB7_D6_M3,1004,6,3,Cường hóa trang bị 8 lần,ENHANCE_GEAR,8,20,9,3,daily,3
EVT_NB7_D7_M1,1004,7,1,Đăng nhập hôm nay,LOGIN,1,20,1,150000,daily,1
EVT_NB7_D7_M2,1004,7,2,Nhận Idle Reward 2 lần,CLAIM_IDLE,2,20,3,120,daily,2
EVT_NB7_D7_M3,1004,7,3,Triệu hồi anh hùng 3 lần (mọi banner),HERO_SUMMON,3,20,8,5,daily,3
