HeroID,HeroNameEN,HeroNameCN,Model,SoundCount,"Aoyi(1,het)",skill1(2),skill2(3),skill3(4),"win(5,thang)","idle(6,dungmay)"
1003301,Ronald,???,hero_ronald,3,1003301_skilltalk1,,,,1003301_skilltalk5,1003301_skilltalk6
1003302,Archelon,???,hero_penelope,3,1003302_skilltalk1,,,,1003302_skilltalk5,1003302_skilltalk6
1003303,Johnson,??,hero_johnson,3,1003303_skilltalk1,,,,1003303_skilltalk5,1003303_skilltalk6
1003304,Clara Bundchen,???·??,hero_clara_bonchen,3,1003304_skilltalk1,,,,1003304_skilltalk5,1003304_skilltalk6
1003305,Amelia,????,hero_amelia,3,1003305_skilltalk1,,,,1003305_skilltalk5,1003305_skilltalk6
1003306,Ophelia,????,hero_ophelia,3,1003306_skilltalk1,,,,1003306_skilltalk5,1003306_skilltalk6
1003307,Speyer,???,hero_spee,3,1003307_skilltalk1,,,,1003307_skilltalk5,1003307_skilltalk6
1003308,Lorelei,???,hero_lorelei,3,1003308_skilltalk1,,,,1003308_skilltalk5,1003308_skilltalk6
1003309,Vito Fry,??·??,hero_vito_frye,3,1003309_skilltalk1,,,,1003309_skilltalk5,1003309_skilltalk6
1004101,Ancient Warrior,????,hero_mummy,0,,,,,,
1004102,Royal Guard,????,hero_guardian,0,,,,,,
1004201,Bastet,???,hero_bastet,3,1004201_skilltalk1,,,,1004201_skilltalk5,1004201_skilltalk6
1004202,Malik,???,hero_malik,3,1004202_skilltalk1,,,,1004202_skilltalk5,1004202_skilltalk6
1004203,Nectanebo,?????,hero_nectanebo,3,1004203_skilltalk1,,,,1004203_skilltalk5,1004203_skilltalk6
1004301,Hotep,???,hero_hotep,3,1004301_skilltalk1,,,,1004301_skilltalk5,1004301_skilltalk6
1004302,Nut,??,hero_noot,3,1004302_skilltalk1,,,,1004302_skilltalk5,1004302_skilltalk6
1004303,Horus,???,hero_horus,3,1004303_skilltalk1,,,,1004303_skilltalk5,1004303_skilltalk6
1004304,Hyksos,????,hero_syxos,3,1004304_skilltalk1,,,,1004304_skilltalk5,1004304_skilltalk6
1004305,Djefatnebti,??????,hero_jefatnebuti,3,1004305_skilltalk1,,,,1004305_skilltalk5,1004305_skilltalk6
1004306,Jedfrey,????,hero_jedfrey,3,1004306_skilltalk1,,,,1004306_skilltalk5,1004306_skilltalk6
1004307,Sobek,???,hero_sobek,3,1004307_skilltalk1,,,,1004307_skilltalk5,1004307_skilltalk6
1004308,Hatshepsut,????,hero_hachasut,3,1004308_skilltalk1,,,,1004308_skilltalk5,1004308_skilltalk6
1004309,Niuseil,????,hero_neusel,3,1004309_skilltalk1,,,,1004309_skilltalk5,1004309_skilltalk6
1005201,,??,hero_tar,0,,,,,,
1005202,,???,hero_krad,0,,,,,,
1005301,Skeggjald,?????,hero_female_pirate,3,1005301_skilltalk1,,,,1005301_skilltalk5,1005301_skilltalk6
1005302,Hecate,???,hero_female_pirate,3,1005302_skilltalk1,,,,1005302_skilltalk5,1005302_skilltalk6
1005303,Uriel,???,hero_uriel,3,1005303_skilltalk1,,,,1005303_skilltalk5,1005303_skilltalk6
1005304,Geironul,????,hero_jerolul,3,1005304_skilltalk1,,,,1005304_skilltalk5,1005304_skilltalk6
1006101,Devil Jester,???,hero_clown,0,,,,,,
1006102,Trickster,???,hero_scarecrow,0,,,,,,
1006103,Creep Demon,???,hero_golem,0,,,,,,
1006201,,???,hero_grom,0,,,,,,
1006202,,??,hero_david,0,,,,,,
1006301,Pennywise,????,hero_penny_wise,3,1006301_skilltalk1,,,,1006301_skilltalk5,1006301_skilltalk6
1006302,Tattjana,????,hero_tatiana,3,1006302_skilltalk1,,,,1006302_skilltalk5,1006302_skilltalk6
1006303,Billy Shaw,??·?,hero_billy_shaw,3,1006303_skilltalk1,,,,1006303_skilltalk5,1006303_skilltalk6
1007301,Edward Teach,???·??,hero_edward_teach,3,1007301_skilltalk1,,,,1007301_skilltalk5,1007301_skilltalk6
1008001,Looting Monster,????,hero_sea_monster,0,,,,,,
1008002,Captain Skeleton,????,hero_skeleton_captain,0,,,,,,
1008003,Captain Skeleton,????,hero_skeleton_captain,0,,,,,,
1008004,Looting Monster,????,hero_sea_monster,0,,,,,,
1008005,Captain Skeleton,????,hero_penny_wise,3,1006301_skilltalk1,,,,1006301_skilltalk5,1006301_skilltalk6
1008006,Treasure robbing sea monster,????,hero_sea_monster2,0,,,,,,
1008007,Jellorul,????,hero_jerolul,3,1005304_skilltalk1,,,,1005304_skilltalk5,1005304_skilltalk6
1300001,Skill text 9,??????,hero_edward_racham,0,,,,,,
1300002,Skill text 14,??????,hero_edward_racham,0,,,,,,
1300101,Devil Jester,???,hero_clown,0,,,,,,
1300102,Devil Jester,???,hero_clown,0,,,,,,
1300103,Trickster,???,hero_scarecrow,0,,,,,,
1300104,Druid,???,hero_druid,0,,,,,,
1300105,Tribal Warrior,????,hero_barbarian,0,,,,,,
1300106,Royal Guard,????,hero_guardian,0,,,,,,
1300107,Royal Guard,????,hero_guardian,0,,,,,,
1300108,Devil Jester,???,hero_clown,0,,,,,,
1300109,Druid,???,hero_druid,0,,,,,,
1300110,Trickster,???,hero_scarecrow,0,,,,,,
1300111,Trickster,???,hero_scarecrow,0,,,,,,
1300112,Devil Jester,???,hero_clown,0,,,,,,
1300113,Bastet,???,hero_bastet,3,1300113_skilltalk1,,,,1004201_skilltalk5,1004201_skilltalk6
1300114,Hatshepsut,????,hero_hachasut,3,1300114_skilltalk1,,,,1004308_skilltalk5,1004308_skilltalk6
1300115,Tribal Warrior,????,hero_barbarian,0,,,,,,
1300116,Nectanebo,?????,hero_nectanebo,3,1300116_skilltalk1,,,,1004203_skilltalk5,1004203_skilltalk6
1300117,Ancient Warrior,????,hero_mummy,0,,,,,,
1300118,Tribal Warrior,????,hero_barbarian,0,,,,,,
1300119,Catarina,??·??,hero_annie_reed,3,1001204_skilltalk1,,,,1001204_skilltalk5,1001204_skilltalk6
2001201,Edward Leckham,???·????,hero_edward_racham,3,1001201_skilltalk1,,,,1001201_skilltalk5,1001201_skilltalk6
2001202,,???·??,hero_nottingham_wood,3,1001202_skilltalk1,,,,1001202_skilltalk5,1001202_skilltalk6
2001203,,????·????,hero_antonio_capulet,3,1001203_skilltalk1,,,,1001203_skilltalk5,1001203_skilltalk6
2001301,Riddle Polonius,???·????,hero_riedel_polonier,3,1001301_skilltalk1,,,,1001301_skilltalk5,1001301_skilltalk6
2001304,Charlie Farrar,??·???,hero_richard_faral,3,1001304_skilltalk1,,,,1001304_skilltalk5,1001304_skilltalk6
2001305,Arya Amber,???·??,hero_rlia_amber,3,1001305_skilltalk1,,,,1001305_skilltalk5,1001305_skilltalk6
2001306,Emily Cowell,???·???,hero_emily_cowell,3,1001306_skilltalk1,,,,1001306_skilltalk5,1001306_skilltalk6
2001309,Brandon Lowen,???·??,hero_brandon_lowen,3,1001309_skilltalk1,,,,1001309_skilltalk5,1001309_skilltalk6
2001311,Sara Vaughan,??·??,hero_sarah_vaughan,3,1001311_skilltalk1,,,,1001311_skilltalk5,1001311_skilltalk6
2001312,Katarina,??·??,hero_annie_reed,3,1001204_skilltalk1,,,,1001204_skilltalk5,1001204_skilltalk6
2001313,Ash,??·???,hero_ash,3,1001303_skilltalk1,,,,1001303_skilltalk5,1001303_skilltalk6
2001314,Barbossa,???·??,hero_barbossa,3,1007301_skilltalk1,,,,1001314_skilltalk5,1001314_skilltalk6
2002201,,????,hero_herhoff,3,1002201_skilltalk1,,,,1002201_skilltalk5,1002201_skilltalk6
2002202,,??,hero_verri,3,1002202_skilltalk1,,,,1002202_skilltalk5,1002202_skilltalk6
2002203,,????,hero_freydis,3,1002203_skilltalk1,,,,1002203_skilltalk5,1002203_skilltalk6
2002303,Vargs,???,hero_waggs,3,1002303_skilltalk1,,,,1002303_skilltalk5,1002303_skilltalk6
2002304,Bjorn,???,hero_bjorn,3,1002304_skilltalk1,,,,1002304_skilltalk5,1002304_skilltalk6
2002305,Fenrir the Wolfking,???·??,hero_fenrir,3,1002305_skilltalk1,,,,1002305_skilltalk5,1002305_skilltalk6
2002307,Geyer,??,hero_gail,3,1002307_skilltalk1,,,,1002307_skilltalk5,1002307_skilltalk6
2002309,Ragner,???,hero_ragner,3,1002309_skilltalk1,,,,1002309_skilltalk5,1002309_skilltalk6
2002310,Fenne,??,hero_finner,3,1002310_skilltalk1,,,,1002310_skilltalk5,1002310_skilltalk6
2003201,,???,hero_roroha,3,1003201_skilltalk1,,,,1003201_skilltalk5,1003201_skilltalk6
2003202,,???,hero_moana,3,1003202_skilltalk1,,,,1003202_skilltalk5,1003202_skilltalk6
2003203,,??????,hero_lugribossk,3,1003203_skilltalk1,,,,1003203_skilltalk5,1003203_skilltalk6
2003301,Ronald,???,hero_ronald,3,1003301_skilltalk1,,,,1003301_skilltalk5,1003301_skilltalk6
2003302,Archelon,???,hero_penelope,3,1003302_skilltalk1,,,,1003302_skilltalk5,1003302_skilltalk6
2003304,Clara Bundchen,???·??,hero_clara_bonchen,3,1003304_skilltalk1,,,,1003304_skilltalk5,1003304_skilltalk6
2003306,Ophelia,????,hero_ophelia,3,1003306_skilltalk1,,,,1003306_skilltalk5,1003306_skilltalk6
2003308,Lorelei,???,hero_lorelei,3,1003308_skilltalk1,,,,1003308_skilltalk5,1003308_skilltalk6
2003309,Vito Fry,??·??,hero_vito_frye,3,1003309_skilltalk1,,,,1003309_skilltalk5,1003309_skilltalk6
2004201,,???,hero_bastet,3,1004201_skilltalk1,,,,1004201_skilltalk5,1004201_skilltalk6
2004202,,???,hero_malik,3,1004202_skilltalk1,,,,1004202_skilltalk5,1004202_skilltalk6
2004203,,?????,hero_nectanebo,3,1004203_skilltalk1,,,,1004203_skilltalk5,1004203_skilltalk6
2004301,Hotep,???,hero_hotep,3,1004301_skilltalk1,,,,1004301_skilltalk5,1004301_skilltalk6
2004303,Horus,???,hero_horus,3,1004303_skilltalk1,,,,1004303_skilltalk5,1004303_skilltalk6
2004304,Hyksos,????,hero_syxos,3,1004304_skilltalk1,,,,1004304_skilltalk5,1004304_skilltalk6
2004305,Djefatnebti,??????,hero_jefatnebuti,3,1004305_skilltalk1,,,,1004305_skilltalk5,1004305_skilltalk6
2004308,Hatshepsut,????,hero_hachasut,3,1004308_skilltalk1,,,,1004308_skilltalk5,1004308_skilltalk6
2005304,Geironul,????,hero_jerolul,3,1005304_skilltalk1,,,,1005304_skilltalk5,1005304_skilltalk6
2006301,Pennywise,????,hero_penny_wise,3,1006301_skilltalk1,,,,1006301_skilltalk5,1006301_skilltalk6
